ObsID,Country code,Provider ID,Provider name,,Provider webpage,Open Data,National_Station_Identifier,StationName,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,DrainingArea.km2.LDD5k,LisfloodX5k,LisfloodY5k,EC_calib5k
1236,SE,1014,"Swedish Meteorological and Hydrological Institute, core services department - SE",smhi,https://www.smhi.se/data/hydrologi/vattenforing,yes,2244,Vattholma 2,17.730636,60.019625,-,293.8,Fyris,225,4752500,4132500,-
8,DE,1004,Bundesanstalt fuer Gewaesserkunde - DE - BfG,de-wsv,https://www.pegelonline.wsv.de/webservices/files,yes,582670,Grosse Traenke Wehr UP,13.996386,52.369055,34.8,6170.92,Muggelspree,6625,4592500,3257500,0
475,DE,1025,Bayerisches Landesamt für Umwelt - DE - BV,de-bv-lfu,https://www.gkd.bayern.de/en/,yes,18602009,Laufen Siegerstetter Keller,12.933,47.9397,387.05,6112.11,Salzach,6100,4542500,2762500,2
210,AT,1013,"Federal Ministry of Agriculture, Forestry, Environment and Water Management - AT",at-lm-hz,https://ehyd.gv.at/,yes,5001034,Salzburg,13.036802,47.816323,408.06,4425.7,Saalach,4625,4552500,2747500,1
1021,AT,1013,"Federal Ministry of Agriculture, Forestry, Environment and Water Management - AT",at-lm-hz,https://ehyd.gv.at/,yes,5002427,Salzburg-Nonntal,13.053879,47.798051,413.07,4393.9,Salzach,4675,4547500,2747500,3
209,AT,1013,"Federal Ministry of Agriculture, Forestry, Environment and Water Management - AT",at-lm-hz,https://ehyd.gv.at/,yes,5001048,Oberndorf,12.926735,47.939645,387.23,6120,Saalach,6150,4537500,2762500,2
226,AT,1013,"Federal Ministry of Agriculture, Forestry, Environment and Water Management - AT",at-lm-hz,https://ehyd.gv.at/,yes,8001001,Bangs,9.533689,47.272002,419.93,4647.9,Rhine,4650,4282500,2677500,1
372,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2011,Sion,7.3579,46.21909,484,3373,Rhone,3400,4112500,2572500,1
371,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2009,Porte du Scex,6.88861,46.349566,377,5244,Rhone,5300,4082500,2587500,0
335,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2135,"Bern, Schönau",7.447957,46.933093,502,2945,Aare,2975,4132500,2647500,3
351,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2018,Mellingen,8.271283,47.42103,345,3382,Reuss,3425,4192500,2697500,3
348,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2099,"Zuerich,Unterhard",8.525453,47.390585,400,2176,Limmat,2225,4207500,2697500,2
365,CH,1003,Switzerland,ch-bafu,https://www.bafu.admin.ch/bafu/en/home/topics/water/state/data/obtaining-monitoring-data-on-the-topic-of-water.html,yes,2209,"Zürich, Zürichhorn",8.550468,47.354771,406,1829,Zurichsee,2050,4212500,2692500,-
